date,strategy,sha256,committed_at_utc
2026-06-19,v1_personale,2015576223ee02c0150e2223abbc1792142371ef524c3108fe5c85e01f1d1805,2026-06-19T12:59:07.545491+00:00
2026-06-19,v1_pubblica,a8ede6ac6be5c65695a1e89f4bc271b05b833eba8d4bc8748f24c5947d7ffadd,2026-06-19T12:59:07.548406+00:00
2026-06-19,v2_scalabile,96bf21978502cc3b6d2b637b279672becc960e09d0bf43610ae37532702691f7,2026-06-19T12:59:07.548770+00:00
